tconst,titleType,primaryTitle,startYear,genres,averageRating,numVotes,weightedAverage
tt0062336,movie,El tango del viudo y su espejo deformante,2020,Drama,6.2,20,124
tt0069049,movie,The Other Side of the Wind,2018,Drama,6.8,5553,37760.4
tt0116991,movie,Mariette in Ecstasy,2019,Drama,7.5,40,300
tt0170651,movie,T.G.M. - osvoboditel,2018,Documentary,7.4,7,51.8
tt0192528,movie,Heaven & Hell,2018,Drama,3.9,81,315.9
tt0276568,movie,To Chase a Million,2018,"Action,Drama",6.5,6,39
tt0305113,tvSeries,Sta ftera tou erota,2018,Drama,4.1,10,41
tt0305295,movie,Bich bozhiy,2019,Drama,6.1,16,97.6
tt0328810,movie,My Land,2018,"Drama,Family",7.9,67,529.3
tt0337981,movie,A Documentary on the Making of 'Gore Vidal's Caligula',2018,"Adult,Documentary",6.7,63,422.1
tt0360318,tvSeries,Who Wants to Be a Millionaire,2020,Game-Show,6.2,63,390.6
tt0360556,movie,Fahrenheit 451,2018,"Drama,Sci-Fi,Thriller",4.9,16275,79747.5
tt0365545,movie,Nappily Ever After,2018,"Comedy,Drama,Romance",6.4,7214,46169.6
tt0374682,movie,"Gombrowicz, l'Argentine et moi",2019,Documentary,7,5,35
tt0380870,tvSeries,Comedy Circus,2018,Comedy,7.9,36,284.4
tt0385887,movie,Motherless Brooklyn,2019,"Crime,Drama,Mystery",6.8,28639,194745.2
tt0427543,movie,A Million Little Pieces,2018,Drama,6.2,1140,7068
tt0429350,tvSeries,Entertainment Tonight/Weekend Edition/International,2019,News,6.7,6,40.2
tt0432010,movie,The Queen of Sheba Meets the Atom Man,2018,Comedy,7.1,49,347.9
tt0437086,movie,Alita: Battle Angel,2019,"Action,Adventure,Sci-Fi",7.3,205073,1497032.9
tt0441881,movie,Danger Close,2019,"Action,Drama,War",6.9,6547,45174.3
tt0448115,movie,Shazam!,2019,"Action,Adventure,Comedy",7.1,228895,1625154.5
tt0476791,movie,Anywhere Anytime,2020,"Drama,Romance,Thriller",7.6,18,136.8
tt0489974,tvSeries,Carnival Row,2019,"Crime,Drama,Fantasy",7.9,37916,299536.4
tt0783640,movie,The Last Full Measure,2019,"Drama,War",6.6,3576,23601.6
tt0800325,movie,The Dirt,2019,"Biography,Comedy,Drama",7,35148,246036
tt0810836,movie,Dirt Music,2019,"Crime,Drama,Romance",7.1,35,248.5
tt0825334,movie,Caravaggio and My Mother the Pope,2018,"Comedy,Drama",8.5,58,493
tt0837563,movie,Pet Sematary,2019,"Horror,Mystery,Thriller",5.7,72864,415324.8
tt0846775,movie,Cine Manifest,2019,Documentary,7.2,12,86.4
tt0850247,movie,Amsteroid,2018,Sci-Fi,5.8,14,81.2
tt0858419,movie,Bolden,2019,Drama,5.6,373,2088.8
tt0859635,movie,Super Troopers 2,2018,"Comedy,Crime,Mystery",6.1,22673,138305.3
tt0862930,movie,Dukun,2018,"Horror,Thriller",6.8,369,2509.2
tt0926132,movie,Road to Red,2020,"Action,Adventure,Horror",4.5,443,1993.5
tt0972544,movie,Back Roads,2018,"Crime,Drama,Thriller",6.7,3209,21500.3
tt0983946,movie,Fantasy Island,2020,"Adventure,Fantasy,Horror",4.8,16852,80889.6
tt10002654,movie,Pattabhiraman,2019,Drama,7.1,724,5140.4
tt10003978,movie,Fiddler: A Miracle of Miracles,2019,Documentary,7,221,1547
tt10004088,tvSeries,The Rank Room,2019,Reality-TV,6.8,13,88.4
tt10004396,movie,When I Became a Butterfly,2018,"Drama,Thriller",6.4,9,57.6
tt10004466,tvSeries,Beirut City,2018,Comedy,7.7,16,123.2
tt10004944,movie,Aporia,2019,"Action,Adventure,Horror",7.7,51,392.7
tt10005184,movie,Lysis,2018,Adventure,7.9,20,158
tt10005454,tvSeries,Emergency Interrogation Room,2019,Drama,6.7,7,46.9
tt10005906,tvSeries,Dry Shores,2019,Sci-Fi,6.6,13,85.8
tt10005938,tvSeries,Thanks a Million,2020,Short,8,21,168
tt10006004,tvSeries,Miriam's Dead Good Adventure,2019,Documentary,8.3,11,91.3
tt10006006,movie,A Christmas Prince: The Royal Baby,2019,"Family,Romance",5.3,3617,19170.1
tt10006122,movie,Debout,2019,Documentary,5.9,17,100.3
tt10006160,movie,Kala azar,2020,Drama,6.6,12,79.2
tt10006270,movie,Hunting Season,2019,Comedy,5.2,286,1487.2
tt10006274,movie,Feeling of revulsion,2018,Documentary,8.3,7,58.1
tt10006504,tvSeries,Ek Bhram - Sarvagun Sampanna,2019,Drama,7.1,32,227.2
tt10007268,movie,Mesto!,2018,Drama,4.2,5,21
tt10007310,tvSeries,If Time Flows Back,2020,Drama,4.8,5,24
tt10007820,movie,On the Trail of Bigfoot,2019,Documentary,6.3,68,428.4
tt10007978,movie,Terror in the Skies,2019,Documentary,5.8,64,371.2
tt10008784,movie,Bull,2019,Drama,7,1492,10444
tt10009030,movie,Snatchers,2019,"Comedy,Horror,Sci-Fi",5.6,1651,9245.6
tt10009098,movie,Willie,2019,"Documentary,Sport",7,9,63
tt10009434,movie,Family Obligations,2019,"Comedy,Drama",4.9,236,1156.4
tt10009602,movie,Meu Nome é Daniel,2018,Documentary,7.1,13,92.3
tt10009978,movie,Bigger Like Me (Extended Director's Cut),2019,Documentary,6,7,42
tt10010368,movie,The Australian Dream,2019,"Documentary,Drama,Sport",7.3,505,3686.5
tt10010542,tvSeries,Quimbo's Quest,2019,"Adventure,Animation,Comedy",7,6,42
tt10011102,movie,The Sholay Girl,2019,"Action,Biography,Drama",7.7,81,623.7
tt10011226,movie,17 Blocks,2019,Documentary,7.9,37,292.3
tt10011232,movie,Leftover Women,2019,"Documentary,Drama,Romance",7.2,204,1468.8
tt10011252,movie,Watson,2019,Documentary,8.1,62,502.2
tt10011264,movie,A Woman's Work: The NFL's Cheerleader Problem,2019,"Documentary,Music,Sport",6.7,6,40.2
tt10011270,movie,The Dominican Dream,2019,"Biography,Documentary,Sport",7.7,40,308
tt10011284,movie,Lil' Buck: Real Swan,2019,Documentary,7.5,8,60
tt10011296,movie,Nomad: In the Footsteps of Bruce Chatwin,2019,"Biography,Documentary",7,236,1652
tt10011312,movie,All I Can Say,2019,"Documentary,Music",9.2,10,92
